frame,r_knee_angle,r_hip_angle,r_ankle_angle,l_knee_angle,l_hip_angle,l_ankle_angle,r_thigh_length,r_calf_length,l_thigh_length,l_calf_length,hip_width,r_knee_flexion,l_knee_flexion,r_quad_width,r_calf_width,l_quad_width,l_calf_width
66,161.71202647739534,160.22918015710593,165.78617233777774,135.58469355447224,133.07153160670765,165.24506715215236,0.3732708293934334,0.3792902871238816,0.38516106546611756,0.3535434357817622,0.23620318252859032,129.83257912706256,120.4877949829855,0.10856741604431284,0.10128669119371901,0.12172587925852041,0.0971524126229882
67,161.65080202907944,160.7230771373157,166.10812497087576,139.83238833631208,132.86015944347363,167.23084955457603,0.3718475840136982,0.3790765170668824,0.37950518741836364,0.34722794766056597,0.2344509469550995,130.43932133500036,123.3131265681616,0.10831005861299212,0.10092116967427148,0.12151518919309238,0.09713792735761533
68,161.2370088526655,161.08349078151542,166.4798764541948,141.21048269191542,134.9960799077425,166.28709498676406,0.3717690127439091,0.38028994177920344,0.3754833300252782,0.3470154561096876,0.23316105221639194,130.06109534105875,123.624606354077,0.10759787598897648,0.10106992282581237,0.11902018246324776,0.09742260345862117
69,160.67425589009562,161.18364843395406,165.33589336062494,145.60421405111825,136.35630287518464,166.611549356461,0.37085331674538224,0.3820971734238612,0.3707076310495786,0.3496993359983717,0.23222374925385172,131.02086172804707,126.02048059664085,0.10631205280527149,0.10138767983875618,0.11713378253835596,0.09842971950586207
70,160.31832250659707,159.9518441665603,166.31150699806213,149.61382376763663,138.47399719033987,166.3402217924007,0.36703421635003325,0.37650935915005257,0.37405915913131027,0.3516357572741157,0.2310459889632831,135.7600921252597,128.45281017113012,0.10707434428155016,0.1014529395884671,0.1151141448011754,0.09877593463679596
71,161.7590785293498,160.23368902844408,166.97572455115198,157.8632479804469,143.96728179666022,166.2582463998772,0.3669362533591739,0.38194961132647354,0.38021869704481426,0.353290389195397,0.2302161693081977,137.93731527464462,132.75980117611647,0.10923007639571602,0.1020701415571905,0.11375049644628382,0.09906334093896338
72,160.9267121602402,158.45227658470134,168.0392926352986,158.47046382941417,145.6529735857131,167.07972673390742,0.3698492542291581,0.3766169125744621,0.38176322311780475,0.354770777511133,0.23014969656750667,138.13415194153472,133.01184252223337,0.11246758437298561,0.101827800955059,0.11267047406141997,0.09906123845830558
73,159.65173890604723,158.68537812827344,166.86411194400213,157.53483923617205,148.8688095504012,165.80716745166796,0.37149271826768165,0.37447378594913755,0.3851325570349797,0.3549529493181269,0.2291894654761867,137.11053152210536,132.2373833685031,0.11649242559021362,0.10099467696649811,0.11398270471972972,0.0963570237751726
74,157.44879844723806,155.46358530709583,167.42321531757415,156.55675761280432,152.51717369479283,165.4707388569751,0.37343839592103156,0.37422293443275423,0.3885020922326267,0.35738670700295777,0.2283315131930843,135.88954586791598,132.49837599414127,0.12138273098909352,0.10103010986226137,0.1141420989052391,0.09618315063012163
75,150.85193788519328,151.36382912531548,166.76014818930253,154.47111888578416,156.6326763264569,164.85716418948283,0.3711689555276139,0.37349252135798866,0.3948913484249311,0.3557107751172542,0.22883780532953266,133.2981278637272,131.9653947618148,0.12575438054642546,0.10213894669188417,0.11477595586238183,0.0969111145832249
76,142.86252795251238,147.04723465029556,165.53001327996154,153.4998794249552,159.82044450124056,163.67949248000963,0.3715954972154052,0.3696110086144599,0.39868652755480216,0.3563509490626377,0.22815133907142027,128.93487234229477,131.51132505715785,0.12773481118819166,0.10398913205064128,0.1157082519452774,0.09758635182250444
77,144.76840751714178,146.09091108995887,166.4939074886266,156.21262597086357,158.84671423701957,163.93261619994402,0.3655988259449965,0.3704315593512689,0.3958946091838486,0.35369061081126524,0.22610788977619037,129.3919204920066,132.59465981691096,0.13063396651539855,0.1047603622047026,0.1164973569302898,0.09743712807249719
78,146.3463314463756,146.31404741020987,166.29873602669792,157.61920395252076,153.7773908350139,163.81374650154822,0.36190341017294414,0.37263816069745204,0.39354978061343954,0.3532195727585497,0.223384549161662,129.5467794314901,132.6988047340099,0.1305626729126729,0.10594538700069088,0.11956076503083216,0.096689186065949
79,151.43622683440566,148.0904715035176,165.74263784998473,157.64753274515564,154.70075101260932,164.40493561353247,0.35932236956736474,0.36910800428843865,0.39182445513503855,0.3579732390641604,0.2205599116973031,131.77389279725733,131.4689908877082,0.13033100990849358,0.10661674630658213,0.12188624939314152,0.09664008178897304
80,153.45516819943217,150.04272659622444,165.73727723528276,157.11209277840643,155.35951651965013,164.46826800360142,0.35822897345522825,0.36949997531557227,0.3913766869640598,0.3622398810774587,0.2171856283922178,131.6854807287753,130.0145587114319,0.1286165702971416,0.10653855147679182,0.123633632677786,0.09661103122782515
